baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,SKY,20250701,1000,4,55,124
20250630,0500,PTY,20250701,1000,0,55,124
20250630,0500,POP,20250701,1000,30,55,124
20250630,0500,WAV,20250701,1000,-999,55,124
20250630,0500,PCP,20250701,1000,강수없음,55,124
20250630,0500,REH,20250701,1000,90,55,124
20250630,0500,SNO,20250701,1000,적설없음,55,124
20250630,0500,TMP,20250701,1100,26,55,124
20250630,0500,UUU,20250701,1100,1.3,55,124
20250630,0500,VVV,20250701,1100,2.3,55,124
20250630,0500,VEC,20250701,1100,209,55,124
20250630,0500,WSD,20250701,1100,2.6,55,124
20250630,0500,SKY,20250701,1100,4,55,124
20250630,0500,PTY,20250701,1100,0,55,124
20250630,0500,POP,20250701,1100,30,55,124
20250630,0500,WAV,20250701,1100,-999,55,124
20250630,0500,PCP,20250701,1100,강수없음,55,124
20250630,0500,REH,20250701,1100,90,55,124
20250630,0500,SNO,20250701,1100,적설없음,55,124
20250630,0500,TMP,20250701,1200,26,55,124
20250630,0500,UUU,20250701,1200,1.7,55,124
20250630,0500,VVV,20250701,1200,2.8,55,124
20250630,0500,VEC,20250701,1200,211,55,124
20250630,0500,WSD,20250701,1200,3.3,55,124
20250630,0500,SKY,20250701,1200,4,55,124
20250630,0500,PTY,20250701,1200,0,55,124
20250630,0500,POP,20250701,1200,30,55,124
20250630,0500,WAV,20250701,1200,-999,55,124
20250630,0500,PCP,20250701,1200,강수없음,55,124
20250630,0500,REH,20250701,1200,90,55,124
20250630,0500,SNO,20250701,1200,적설없음,55,124
20250630,0500,TMP,20250701,1300,26,55,124
20250630,0500,UUU,20250701,1300,2.2,55,124
20250630,0500,VVV,20250701,1300,3.1,55,124
20250630,0500,VEC,20250701,1300,215,55,124
20250630,0500,WSD,20250701,1300,3.8,55,124
20250630,0500,SKY,20250701,1300,4,55,124
20250630,0500,PTY,20250701,1300,0,55,124
20250630,0500,POP,20250701,1300,30,55,124
20250630,0500,WAV,20250701,1300,-999,55,124
20250630,0500,PCP,20250701,1300,강수없음,55,124
20250630,0500,REH,20250701,1300,90,55,124
20250630,0500,SNO,20250701,1300,적설없음,55,124
20250630,0500,TMP,20250701,1400,27,55,124
20250630,0500,UUU,20250701,1400,2.4,55,124
20250630,0500,VVV,20250701,1400,2.8,55,124
20250630,0500,VEC,20250701,1400,221,55,124
20250630,0500,WSD,20250701,1400,3.7,55,124
20250630,0500,SKY,20250701,1400,4,55,124
20250630,0500,PTY,20250701,1400,4,55,124
20250630,0500,POP,20250701,1400,60,55,124
20250630,0500,WAV,20250701,1400,-999,55,124
20250630,0500,PCP,20250701,1400,2.0mm,55,124
20250630,0500,REH,20250701,1400,90,55,124
20250630,0500,SNO,20250701,1400,적설없음,55,124
20250630,0500,TMP,20250701,1500,26,55,124
20250630,0500,UUU,20250701,1500,2.5,55,124
20250630,0500,VVV,20250701,1500,2.7,55,124
20250630,0500,VEC,20250701,1500,223,55,124
20250630,0500,WSD,20250701,1500,3.7,55,124
20250630,0500,SKY,20250701,1500,4,55,124
20250630,0500,PTY,20250701,1500,4,55,124
20250630,0500,POP,20250701,1500,60,55,124
20250630,0500,WAV,20250701,1500,-999,55,124
20250630,0500,PCP,20250701,1500,4.0mm,55,124
20250630,0500,REH,20250701,1500,90,55,124
20250630,0500,SNO,20250701,1500,적설없음,55,124
20250630,0500,TMX,20250701,1500,28.0,55,124
20250630,0500,TMP,20250701,1600,26,55,124
20250630,0500,UUU,20250701,1600,2.9,55,124
20250630,0500,VVV,20250701,1600,2.6,55,124
20250630,0500,VEC,20250701,1600,228,55,124
20250630,0500,WSD,20250701,1600,3.9,55,124
20250630,0500,SKY,20250701,1600,4,55,124
20250630,0500,PTY,20250701,1600,4,55,124
20250630,0500,POP,20250701,1600,60,55,124
20250630,0500,WAV,20250701,1600,-999,55,124
20250630,0500,PCP,20250701,1600,7.0mm,55,124
20250630,0500,REH,20250701,1600,85,55,124
20250630,0500,SNO,20250701,1600,적설없음,55,124
20250630,0500,TMP,20250701,1700,26,55,124
20250630,0500,UUU,20250701,1700,2.6,55,124
20250630,0500,VVV,20250701,1700,2.2,55,124
20250630,0500,VEC,20250701,1700,230,55,124
20250630,0500,WSD,20250701,1700,3.4,55,124
20250630,0500,SKY,20250701,1700,4,55,124
20250630,0500,PTY,20250701,1700,4,55,124
20250630,0500,POP,20250701,1700,60,55,124
20250630,0500,WAV,20250701,1700,-999,55,124
20250630,0500,PCP,20250701,1700,7.0mm,55,124
20250630,0500,REH,20250701,1700,90,55,124
20250630,0500,SNO,20250701,1700,적설없음,55,124
20250630,0500,TMP,20250701,1800,26,55,124
20250630,0500,UUU,20250701,1800,2.2,55,124
20250630,0500,VVV,20250701,1800,2.2,55,124
20250630,0500,VEC,20250701,1800,225,55,124
20250630,0500,WSD,20250701,1800,3.1,55,124
20250630,0500,SKY,20250701,1800,4,55,124
20250630,0500,PTY,20250701,1800,4,55,124
20250630,0500,POP,20250701,1800,60,55,124
20250630,0500,WAV,20250701,1800,-999,55,124
20250630,0500,PCP,20250701,1800,2.0mm,55,124
20250630,0500,REH,20250701,1800,90,55,124
20250630,0500,SNO,20250701,1800,적설없음,55,124
20250630,0500,TMP,20250701,1900,26,55,124
20250630,0500,UUU,20250701,1900,1.8,55,124
20250630,0500,VVV,20250701,1900,2,55,124
20250630,0500,VEC,20250701,1900,222,55,124
20250630,0500,WSD,20250701,1900,2.7,55,124
20250630,0500,SKY,20250701,1900,4,55,124
20250630,0500,PTY,20250701,1900,0,55,124
20250630,0500,POP,20250701,1900,30,55,124
20250630,0500,WAV,20250701,1900,-999,55,124
20250630,0500,PCP,20250701,1900,강수없음,55,124
20250630,0500,REH,20250701,1900,90,55,124
20250630,0500,SNO,20250701,1900,적설없음,55,124
20250630,0500,TMP,20250701,2000,25,55,124
20250630,0500,UUU,20250701,2000,1.4,55,124
20250630,0500,VVV,20250701,2000,1.8,55,124
20250630,0500,VEC,20250701,2000,218,55,124
20250630,0500,WSD,20250701,2000,2.3,55,124
20250630,0500,SKY,20250701,2000,4,55,124
20250630,0500,PTY,20250701,2000,0,55,124
20250630,0500,POP,20250701,2000,30,55,124
20250630,0500,WAV,20250701,2000,-999,55,124
20250630,0500,PCP,20250701,2000,강수없음,55,124
20250630,0500,REH,20250701,2000,90,55,124
20250630,0500,SNO,20250701,2000,적설없음,55,124
20250630,0500,TMP,20250701,2100,25,55,124
20250630,0500,UUU,20250701,2100,0.9,55,124
20250630,0500,VVV,20250701,2100,1.9,55,124
20250630,0500,VEC,20250701,2100,205,55,124
20250630,0500,WSD,20250701,2100,2.1,55,124
20250630,0500,SKY,20250701,2100,4,55,124
20250630,0500,PTY,20250701,2100,0,55,124
20250630,0500,POP,20250701,2100,30,55,124
20250630,0500,WAV,20250701,2100,-999,55,124
20250630,0500,PCP,20250701,2100,강수없음,55,124
20250630,0500,REH,20250701,2100,90,55,124
20250630,0500,SNO,20250701,2100,적설없음,55,124
20250630,0500,TMP,20250701,2200,25,55,124
20250630,0500,UUU,20250701,2200,0.5,55,124
20250630,0500,VVV,20250701,2200,2.1,55,124
20250630,0500,VEC,20250701,2200,193,55,124
20250630,0500,WSD,20250701,2200,2.2,55,124
20250630,0500,SKY,20250701,2200,4,55,124
20250630,0500,PTY,20250701,2200,0,55,124
20250630,0500,POP,20250701,2200,30,55,124
20250630,0500,WAV,20250701,2200,-999,55,124
20250630,0500,PCP,20250701,2200,강수없음,55,124
20250630,0500,REH,20250701,2200,95,55,124
20250630,0500,SNO,20250701,2200,적설없음,55,124
20250630,0500,TMP,20250701,2300,24,55,124
20250630,0500,UUU,20250701,2300,0.3,55,124
20250630,0500,VVV,20250701,2300,2.1,55,124
20250630,0500,VEC,20250701,2300,188,55,124
20250630,0500,WSD,20250701,2300,2.1,55,124
20250630,0500,SKY,20250701,2300,4,55,124
20250630,0500,PTY,20250701,2300,0,55,124
20250630,0500,POP,20250701,2300,30,55,124
